rewardType,icon,type,technologyLabel,customPage,startTime,id,state,introduction,HostName,reward,totalUserNumber,level,mold,industryLabel,name,miniAppState,endTime
职位,https://pu-datacastle.obs.cn-north-1.myhuaweicloud.com/content/disk/share/img/b5802b30-b646-4aa6-9b4e-813d454a5f2b.png,结果提交型,回归,,1548043200000,274,active,"<p>经过数十亿年的进化，地球的生物圈适应了这颗行星的春夏秋冬。各地植物的生长节律与季节同步，春华秋实，这被称为植被的物候。然而，每一年的季节变换都不完全一样。有些年份的气温和雨水和其他年份都很不一样。这会给这颗行星的农林牧业带来一些波动，让植被的生长节奏变动：比如说干热带来的山火肆虐，比如说春天提前导致的生长季变长，比如说降水增大带来的洪涝，等等。如果我们能够提前预测各地未来的物候，那么就可以趋利避害。
然而，传统上的气候/物候学预测能力相当有限。但是在今天，深度学习革命有可能能够改变这一切，突破传统思维，帮助人类解锁地球物候的节律。希望你，就是那个屠龙的天才少年。
</p><div><br></div>",佳格天地,实习机会,651,,竞技赛,气象能源,地球物候的深度学习预测,2,1556074800000
奖金,https://pu-datacastle.obs.cn-north-1.myhuaweicloud.com/content/disk/share/img/308e51d9-4224-477d-bd74-0baaef29d2a4.jpg,结果提交型,分类,,1546272000000,277,active,<p>自2012年起，国家陆续出台政策推动健康医疗和大数据的融合发展，从“健康中国”战略到“两个一百年”奋斗目标，健康医疗大数据已成为国家战略的创新需要，是国家及民族复兴所需的核心技</p>,清华大学临床医学院、数据科学研究院，北京清华长庚医院，青岛大学附属医院，天津市武清区人民医院，中关村医院，福建省立医院，京津高村科技创新园,989000,196,,竞技赛,医疗,首届中国心电智能大赛,2,1567180800000
奖金,https://pu-datacastle.obs.cn-north-1.myhuaweicloud.com/content/disk/share/img/b5b8b74e-83c8-48f8-bbd6-3159ed5ccdcf.jpg,结果提交型,"分类,回归",,1550764800000,276,active,<p>IEEE ISI 是安全信息学领域的旗舰会议，于2003年首次在美国亚利桑那州图森市召开。在过去的16年中，IEEE ISI会议已经从 传统的智能和安全领域发展到多领域联合研究与创新。今年7月，IEEE ISI大会将在中国深圳举行。<br></p>,IEEE ISI 2019,The Prize,513,,竞技赛,其它,国际大数据分析竞赛,2,1555948800000
奖金,http://third.datacastle.cn/content/disk/share/img/bd4904f8-6bcb-4ded-9b7e-077a5012451f.jpg,创意型,"分类,回归",,1542729600000,272,active,<p>TOP高校创新科技大赛AI赛季，旨在打造国内最具权威、最具活力的高校科技赛事，是面向高校人工智能（AI）人才的编程竞赛平台，总奖金超过100万元人民币。<br></p><p><br></p>,电子科技大学计算机科学与工程学院、成都一片森林科技有限公司,"1,000,000",509,,竞技赛,城市,TOP高校创新科技大赛,2,1555084799000
知识,http://third.datacastle.cn/content/disk/share/img/0263288a-821b-4daf-9fda-9a718e0bea75.jpeg,结果提交型,分类,,1537511100000,248,active,<p>本次比赛是DC学院练习赛，特别面向学习《机器学习（入门）》课程的学员，让学员把课上所学的知识运用到现实中去，用竞赛来检验自己所学的知识，达到知识整合，融会贯通的目的。&nbsp;<br></p>,DataCastle数据城堡,机器学习知识,493,,竞技赛,工业,轴承故障检测训练赛,2,1600617600000
知识,http://third.datacastle.cn/pkbigdata/master.other.img/17606bd7-a0c2-402a-a7dd-8160bbd25158.jpg,结果提交型,,,1505808000000,191,active,本次比赛是DC学院练习赛，特别面向学习《数据分析师（入门）》课程的学员，让学员把课上所学的知识运用到现实中去，用竞赛来检验自己所学的知识，达到知识整合、融会贯通的目的。,DataCastle数据城堡,数据分析知识,851,,竞技赛,城市/环境/民生,北京PM2.5浓度回归分析训练赛,2,1609344000000
知识,http://third.datacastle.cn/pkbigdata/master.team.img/f13dcf2e-0c25-46e8-a41d-33069053a2ef.jpeg,结果提交型,分类,,1501662300000,189,active,本次比赛是DC学院练习赛，特别面向学习《数据分析师（入门）》课程的学员，让学员把课上所学的知识运用到现实中去，用竞赛来检验自己所学的知识，达到知识整合，融会贯通的目的。,DataCastle数据城堡,数据分析知识,1899,,竞技赛,人力资源,员工离职预测训练赛,2,1609344000000
知识,http://third.datacastle.cn/pkbigdata/master.team.img/010e8eda-446f-4a10-8bb5-153a38d85635.jpeg,结果提交型,回归,,1501464000000,188,active,本次比赛是DC学院练习赛，特别面向学习《数据分析师（入门）》课程的学员，让学员把课上所学的知识运用到真实的数据中去，用竞赛来检验自己所学的知识，达到知识整合，融会贯通的目的。,DataCastle数据城堡,数据分析知识,1355,,竞技赛,城市/环境/民生,美国King County房价预测训练赛,2,1609344000000
奖金,http://third.datacastle.cn/content/disk/share/img/470ede97-9ca2-4734-acc1-bd5b50e99089.png,结果提交型,,,1540015200000,265,joinable,<p>随着互联网+这一概念的不断发展，电商、出行、外卖等行业近些年也持续发展壮大，越来越多的商家进入这一市场。为了在激烈的竞争中拉取新用户，培养用户的消费习惯，各种类型的营销活动和补贴活动也是层出不穷。<br></p><p><br></p>,甜橙金融,80000,2420,,竞技赛,金融,2018年甜橙金融杯大数据建模大赛,3,1544752800000
奖金,http://third.datacastle.cn/content/disk/share/img/ae75c9ef-7100-4334-a3bf-c7c99a26afb0.png,结果提交型,回归,,1539586800000,263,joinable,<p>光伏发电具有波动性和间歇性，大规模光伏电站并网运行可能对电力系统的安全稳定经济运行造成影响。对光伏电站的输出功率进行准确率预测，有助于调度部门统筹安排常规能源和光伏发电的协调配合，及时调整调度计划，合理安排电网运行方式。因此，本题旨在通过利用气象信息、历史数据、组件信息等，通过机器学习、人工智能方法，预测未来发电功率，为进一步为光伏发电功率提供准确的预测结果。<br></p><p><br></p>,国能日新科技股份有限公司,90000,778,,竞技赛,工业,国能日新光伏功率预测大赛,3,1543284000000
