username,rank_num,star_num
sindresorhus,1,386144
996icu,2,240955
kamranahmedse,3,128058
getify,4,121162
donnemartin,5,120460
JakeWharton,6,114248
sebastianbergmann,7,105349
tj,8,103646
justjavac,9,88556
robbyrussell,10,87901
typicode,11,81746
jwasham,12,81343
ruanyf,13,76806
torvalds,14,75130
jashkenas,15,73386
toddmotto,16,72151
hakimel,17,69920
substack,18,69604
vinta,19,69356
developit,20,69313
wasabeef,21,68489
tpope,22,64813
antirez,23,64525
kelseyhightower,24,64324
daneden,25,63543
mrdoob,26,62055
trekhleb,27,61731
CyC2018,28,61472
jamiebuilds,29,60144
necolas,30,59051
astaxie,31,58837
bailicangdu,32,54654
nicklockwood,33,52972
junegunn,34,52746
rstacruz,35,51221
addyosmani,36,48026
jaywcjlove,37,47909
iluwatar,38,47542
jlevy,39,47472
jgthms,40,47200
jakubroztocil,41,46564
bevacqua,42,46196
nvbn,43,46184
blueimp,44,46159
avelino,45,45648
tonsky,46,44891
danistefanovic,47,44660
minimaxir,48,44498
mafintosh,49,43829
phodal,50,43254
daimajia,51,42182
zenorocha,52,42170
chrisbanes,53,42078
jondot,54,41515
sahat,55,40979
josephmisiti,56,40802
PanJiaChen,57,40222
enaqx,58,40142
ankane,59,39581
maxogden,60,38938
Snailclimb,61,38863
spf13,62,38702
NARKOZ,63,38135
mholt,64,37897
karpathy,65,37851
adam-p,66,37721
mathiasbynens,67,37352
Trinea,68,36882
fogleman,69,36565
karan,70,36310
prakhar1989,71,36238
aymericdamien,72,36040
egoist,73,35937
Dogfalo,74,35868
defunkt,75,35864
gaearon,76,35713
sharkdp,77,35656
wesbos,78,34785
caolan,79,34762
Blankj,80,34564
keijiro,81,34522
johnpapa,82,34436
FezVrasta,83,34387
kdn251,84,34303
ibireme,85,34240
mgechev,86,34014
onevcat,87,33998
greenrobot,88,33655
alvarotrigo,89,32994
JedWatson,90,32758
erikras,91,32727
remy,92,32540
BurntSushi,93,32366
vsouza,94,32188
juliangarnier,95,31710
Kickball,96,31279
jaredhanson,97,30656
geeeeeeeeek,98,30500
kenwheeler,99,30226
chrislgarry,100,30060
desandro,101,29893
k88hudson,102,29775
Unitech,103,29564
